detector,grouping,group_value,n,caught,detection_rate,mean_score
spamassassin,real_baseline,real_phishing,967,688,0.7114788004136504,5.277145811789039
spamassassin,overall,synthetic_all,457,177,0.387308533916849,2.2019693654266956
spamassassin,method,few_shot,127,23,0.18110236220472442,0.8614173228346457
spamassassin,method,rephrasing,200,118,0.59,3.5715
spamassassin,method,zero_shot,130,36,0.27692307692307694,1.4046153846153848
spamassassin,sophistication,bulk,157,45,0.28662420382165604,1.3821656050955413
spamassassin,sophistication,rephrased,200,118,0.59,3.5715
spamassassin,sophistication,spear,100,14,0.14,0.75
spamassassin,method_scenario,few_shot:account_suspension,10,6,0.6,2.73
spamassassin,method_scenario,few_shot:ceo_wire_transfer,10,9,0.9,2.8899999999999997
spamassassin,method_scenario,few_shot:colleague_impersonation,10,0,0.0,0.26
spamassassin,method_scenario,few_shot:delivery_notification,10,0,0.0,0.48
spamassassin,method_scenario,few_shot:document_share,10,0,0.0,0.32
spamassassin,method_scenario,few_shot:fake_invoice,10,0,0.0,0.4800000000000001
spamassassin,method_scenario,few_shot:hr_benefits,10,0,0.0,0.24000000000000005
spamassassin,method_scenario,few_shot:it_department,10,0,0.0,0.24000000000000005
spamassassin,method_scenario,few_shot:linkedin_recruiter,10,0,0.0,0.16
spamassassin,method_scenario,few_shot:password_reset,7,0,0.0,0.4571428571428572
spamassassin,method_scenario,few_shot:prize_reward,10,8,0.8,2.1599999999999997
spamassassin,method_scenario,few_shot:security_alert,10,0,0.0,0.26
spamassassin,method_scenario,few_shot:vendor_impersonation,10,0,0.0,0.4
spamassassin,method_scenario,rephrasing:rephrased_real,200,118,0.59,3.5715
spamassassin,method_scenario,zero_shot:account_suspension,10,10,1.0,5.529999999999999
spamassassin,method_scenario,zero_shot:ceo_wire_transfer,10,4,0.4,2.25
spamassassin,method_scenario,zero_shot:colleague_impersonation,10,0,0.0,0.4
spamassassin,method_scenario,zero_shot:delivery_notification,10,0,0.0,0.27999999999999997
spamassassin,method_scenario,zero_shot:document_share,10,0,0.0,0.16
spamassassin,method_scenario,zero_shot:fake_invoice,10,1,0.1,0.6399999999999999
spamassassin,method_scenario,zero_shot:hr_benefits,10,1,0.1,0.34
spamassassin,method_scenario,zero_shot:it_department,10,4,0.4,1.92
spamassassin,method_scenario,zero_shot:linkedin_recruiter,10,0,0.0,0.08
spamassassin,method_scenario,zero_shot:password_reset,10,1,0.1,0.76
spamassassin,method_scenario,zero_shot:prize_reward,10,7,0.7,1.9
spamassassin,method_scenario,zero_shot:security_alert,10,8,0.8,3.5199999999999996
spamassassin,method_scenario,zero_shot:vendor_impersonation,10,0,0.0,0.48
